bar_minutes,scope,bars,indicator_eligible_bars,volume_above_2x_average,range_below_0_3_atr,strict_absorption_intersection,absorption_given_volume_share,absorption_given_narrow_range_share,recent_absorption,three_bar_accumulation,recent_absorption_and_accumulation,aggressive_expansion,strict_signals
1,all_feed_bars,681646,681596,32299,2242,3,9.28821325737639e-05,0.0013380909901873326,18,8456,7,72816,0
1,complete_regular_session_bars,185130,185130,11309,30,0,0.0,0.0,0,838,0,17288,0
1,first_30m_bars,14310,14310,7577,1,0,0.0,0.0,0,39,0,5708,0
1,execution_30m_bars,14220,14220,168,1,0,0.0,0.0,0,63,0,1030,0
2,all_feed_bars,340741,340691,22042,1256,0,0.0,0.0,0,5327,0,40411,0
2,complete_regular_session_bars,92565,92565,9506,7,0,0.0,0.0,0,446,0,10369,0
2,first_30m_bars,7155,7155,6138,0,0,0.0,0.0,0,6,0,3463,0
2,execution_30m_bars,7110,7110,1280,1,0,0.0,0.0,0,37,0,2064,0
5,all_feed_bars,136298,136248,14330,1116,0,0.0,0.0,0,3383,0,17673,0
5,complete_regular_session_bars,37026,37026,7417,8,0,0.0,0.0,0,284,0,5821,0
5,first_30m_bars,2862,2862,2852,0,0,0.0,0.0,0,25,0,1630,0
5,execution_30m_bars,2844,2844,2614,0,0,0.0,0.0,0,0,0,1318,0
